"Description: ","Heatwave definitions and aspects"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, HWM, HWA, HWN, HWD, HWF
1936, 22.7, 23.9, 1, 3, 3
1937, -99.9, -99.9, 0, -99.9, 0
1938, -99.9, -99.9, 0, -99.9, 0
1939, -99.9, -99.9, 0, -99.9, 0
1940, 23.975, 26.2, 2, 4, 7
1941, 24.1, 25.1, 1, 3, 3
1942, 25.2055555555556, 29.3, 3, 6, 12
1943, -99.9, -99.9, 0, -99.9, 0
1944, -99.9, -99.9, 0, -99.9, 0
1945, -99.9, -99.9, 0, -99.9, 0
1946, 27.05, 31.7, 2, 3, 6
1947, 22.0888888888889, 27.1, 3, 3, 9
1948, 25.9, 27.4, 1, 3, 3
1949, 22.5166666666667, 23.5, 2, 3, 6
1950, -99.9, -99.9, 0, -99.9, 0
1951, 21.3333333333333, 22.7, 2, 3, 6
1952, -99.9, -99.9, 0, -99.9, 0
1953, 25.9666666666667, 31.3, 2, 3, 6
1954, -99.9, -99.9, 0, -99.9, 0
1955, -99.9, -99.9, 0, -99.9, 0
1956, 21.375, 22.8, 1, 4, 4
1957, 23.5172222222222, 29, 3, 6, 15
1958, 24.60625, 27.6, 4, 4, 13
1959, -99.9, -99.9, 0, -99.9, 0
1960, 23.6333333333333, 25.4, 1, 3, 3
1961, 20.3333333333333, 20.6, 1, 3, 3
1962, 24.8444444444444, 28.3, 3, 4, 10
1963, -99.9, -99.9, 0, -99.9, 0
1964, 20.675, 21.2, 1, 4, 4
1965, 22.7944444444444, 28.1, 3, 6, 12
1966, -99.9, -99.9, 0, -99.9, 0
1967, -99.9, -99.9, 0, -99.9, 0
1968, 23.8666666666667, 24.5, 1, 3, 3
1969, 22.4111111111111, 25.7, 3, 3, 9
1970, -99.9, -99.9, 0, -99.9, 0
1971, -99.9, -99.9, 0, -99.9, 0
1972, 21.1666666666667, 22.1, 1, 3, 3
1973, 23, 23.3, 1, 3, 3
1974, 25.0666666666667, 26.9, 1, 3, 3
1975, 23.9166666666667, 26.6, 4, 4, 13
1976, 23.6666666666667, 24.4, 1, 3, 3
1977, 21.4333333333333, 22.5, 1, 3, 3
1978, -99.9, -99.9, 0, -99.9, 0
1979, 21.5666666666667, 22.1, 1, 3, 3
1980, 23.7333333333333, 25.4, 2, 3, 6
1981, -99.9, -99.9, 0, -99.9, 0
1982, 24.0333333333333, 24.8, 1, 3, 3
1983, -99.9, -99.9, 0, -99.9, 0
1984, -99.9, -99.9, 0, -99.9, 0
1985, 21.0333333333333, 21.1, 1, 3, 3
1986, -99.9, -99.9, 0, -99.9, 0
1987, 24.7555555555556, 32.6, 3, 3, 9
1988, 22.9055555555556, 26.3, 3, 4, 11
1989, 27.8666666666667, 28.3, 1, 3, 3
1990, 26.4333333333333, 26.7, 2, 3, 6
1991, 21.9, 25.2, 1, 3, 3
1992, 21.9666666666667, 22.8, 1, 3, 3
1993, 20.375, 20.9, 1, 4, 4
1994, 23.775, 26, 2, 4, 7
1995, 24.996875, 31.3, 4, 8, 19
1996, -99.9, -99.9, 0, -99.9, 0
1997, -99.9, -99.9, 0, -99.9, 0
1998, 27.26, 33.7, 2, 5, 8
1999, -99.9, -99.9, 0, -99.9, 0
2000, 19.7666666666667, 20, 1, 3, 3
2001, 20.94, 21.6, 1, 5, 5
2002, 22.8666666666667, 25.9, 3, 4, 10
2003, 24.08, 32.4, 3, 5, 11
2004, 21.32, 22.3, 1, 5, 5
2005, 22.3066666666667, 25.6, 5, 4, 17
2006, 29.7166666666667, 33.6, 1, 6, 6
2007, 24.57375, 28.6, 4, 5, 15
2008, -99.9, -99.9, 0, -99.9, 0
2009, 22.4333333333333, 25.7, 3, 3, 9
2010, 20.9, 21.1, 1, 3, 3
2011, 23.5142857142857, 25.7, 1, 7, 7
2012, 24.8555555555556, 29.1, 3, 3, 9
2013, 24.6473333333333, 31.8, 5, 6, 21
2014, 23.044358974359, 27.1, 4, 13, 24
2015, 22.6833333333333, 22.9, 2, 3, 6
